#Time	Mediavine
2021-01-02T10:20:00-05:00	344970
2021-01-02T10:30:00-05:00	222923
2021-01-02T10:40:00-05:00	448440
2021-01-02T10:50:00-05:00	267913
2021-01-02T11:00:00-05:00	324560
2021-01-02T11:10:00-05:00	342046
2021-01-02T11:20:00-05:00	171507
2021-01-02T11:30:00-05:00	286790
2021-01-02T11:40:00-05:00	346953
2021-01-02T11:50:00-05:00	297582
2021-01-02T12:00:00-05:00	779587
2021-01-02T12:10:00-05:00	416036
2021-01-02T12:20:00-05:00	371955
2021-01-02T12:30:00-05:00	557372
2021-01-02T12:40:00-05:00	476234
2021-01-02T12:50:00-05:00	377048
2021-01-02T13:00:00-05:00	117091
2021-01-02T13:10:00-05:00	444633
2021-01-02T13:20:00-05:00	547507
2021-01-02T13:30:00-05:00	485524
2021-01-02T13:40:00-05:00	547314
2021-01-02T13:50:00-05:00	322924
2021-01-02T14:00:00-05:00	1092019
2021-01-02T14:10:00-05:00	199903
2021-01-02T14:20:00-05:00	574129
2021-01-02T14:30:00-05:00	721306
2021-01-02T14:40:00-05:00	808404
2021-01-02T14:50:00-05:00	735837
2021-01-02T15:00:00-05:00	426842
2021-01-02T15:10:00-05:00	213035
2021-01-02T15:20:00-05:00	308223
2021-01-02T15:30:00-05:00	473039
2021-01-02T15:40:00-05:00	556375
2021-01-02T15:50:00-05:00	549040
2021-01-02T16:00:00-05:00	780939
2021-01-02T16:10:00-05:00	516135
2021-01-02T16:20:00-05:00	522682
2021-01-02T16:30:00-05:00	255543
2021-01-02T16:40:00-05:00	621437
2021-01-02T16:50:00-05:00	737701
2021-01-02T17:00:00-05:00	167441
2021-01-02T17:10:00-05:00	585977
2021-01-02T17:20:00-05:00	668247
2021-01-02T17:30:00-05:00	415742
2021-01-02T17:40:00-05:00	727229
2021-01-02T17:50:00-05:00	338148
2021-01-02T18:00:00-05:00	398395
2021-01-02T18:10:00-05:00	677948
2021-01-02T18:20:00-05:00	653787
2021-01-02T18:30:00-05:00	650538
2021-01-02T18:40:00-05:00	662722
2021-01-02T18:50:00-05:00	751391
2021-01-02T19:00:00-05:00	684967
2021-01-02T19:10:00-05:00	494758
2021-01-02T19:20:00-05:00	500284
2021-01-02T19:30:00-05:00	775128
2021-01-02T19:40:00-05:00	276588
2021-01-02T19:50:00-05:00	798363
2021-01-02T20:00:00-05:00	815767
2021-01-02T20:10:00-05:00	873728
2021-01-02T20:20:00-05:00	792746
2021-01-02T20:30:00-05:00	347205
2021-01-02T20:40:00-05:00	710856
2021-01-02T20:50:00-05:00	865209
2021-01-02T21:00:00-05:00	310105
2021-01-02T21:10:00-05:00	771271
2021-01-02T21:20:00-05:00	383787
2021-01-02T21:30:00-05:00	445283
2021-01-02T21:40:00-05:00	334773
2021-01-02T21:50:00-05:00	687464
2021-01-02T22:00:00-05:00	460378
2021-01-02T22:10:00-05:00	455516
2021-01-02T22:20:00-05:00	559815
2021-01-02T22:30:00-05:00	576323
2021-01-02T22:40:00-05:00	471521
2021-01-02T22:50:00-05:00	744550
2021-01-02T23:00:00-05:00	389534
2021-01-02T23:10:00-05:00	619858
2021-01-02T23:20:00-05:00	541043
2021-01-02T23:30:00-05:00	399503
2021-01-02T23:40:00-05:00	293594
2021-01-02T23:50:00-05:00	610166
2021-01-03T00:00:00-05:00	745248
2021-01-03T00:10:00-05:00	492384
2021-01-03T00:20:00-05:00	590167
2021-01-03T00:30:00-05:00	404149
2021-01-03T00:40:00-05:00	175416
2021-01-03T00:50:00-05:00	281996
2021-01-03T01:00:00-05:00	499982
2021-01-03T01:10:00-05:00	453697
2021-01-03T01:20:00-05:00	541642
2021-01-03T01:30:00-05:00	548138
2021-01-03T01:40:00-05:00	184460
2021-01-03T01:50:00-05:00	644144
2021-01-03T02:00:00-05:00	390067
2021-01-03T02:10:00-05:00	351460
2021-01-03T02:20:00-05:00	632139
2021-01-03T02:30:00-05:00	192419
2021-01-03T02:40:00-05:00	367243
2021-01-03T02:50:00-05:00	460888
2021-01-03T03:00:00-05:00	525885
2021-01-03T03:10:00-05:00	233581
2021-01-03T03:20:00-05:00	462367
2021-01-03T03:30:00-05:00	644539
2021-01-03T03:40:00-05:00	166076
2021-01-03T03:50:00-05:00	470761
2021-01-03T04:00:00-05:00	156356
2021-01-03T04:10:00-05:00	388452
2021-01-03T04:20:00-05:00	230010
2021-01-03T04:30:00-05:00	228315
2021-01-03T04:40:00-05:00	232344
2021-01-03T04:50:00-05:00	227081
2021-01-03T05:00:00-05:00	160856
2021-01-03T05:10:00-05:00	294695
2021-01-03T05:20:00-05:00	146065
2021-01-03T05:30:00-05:00	78114
2021-01-03T05:40:00-05:00	290552
2021-01-03T05:50:00-05:00	478654
2021-01-03T06:00:00-05:00	77923
2021-01-03T06:10:00-05:00	309861
2021-01-03T06:20:00-05:00	287437
2021-01-03T06:30:00-05:00	215976
2021-01-03T06:40:00-05:00	155707
2021-01-03T06:50:00-05:00	208702
2021-01-03T07:00:00-05:00	146819
2021-01-03T07:10:00-05:00	296226
2021-01-03T07:20:00-05:00	143540
2021-01-03T07:30:00-05:00	263709
2021-01-03T07:40:00-05:00	205857
2021-01-03T07:50:00-05:00	213849
2021-01-03T08:00:00-05:00	394990
2021-01-03T08:10:00-05:00	201028
2021-01-03T08:20:00-05:00	272683
2021-01-03T08:30:00-05:00	454788
2021-01-03T08:40:00-05:00	260064
2021-01-03T08:50:00-05:00	130809
2021-01-03T09:00:00-05:00	254354
2021-01-03T09:10:00-05:00	323454
2021-01-03T09:20:00-05:00	318751
2021-01-03T09:30:00-05:00	241479
2021-01-03T09:40:00-05:00	234994
2021-01-03T09:50:00-05:00	283496
2021-01-03T10:00:00-05:00	227855
2021-01-03T10:10:00-05:00	171482
2021-01-03T10:20:00-05:00	57128
