#Time	Sample
01/02/21 10:20 AM	344970
01/02/21 10:30 AM	222923
01/02/21 10:40 AM	448440
01/02/21 10:50 AM	267913
01/02/21 11:00 AM	324560
01/02/21 11:10 AM	342046
01/02/21 11:20 AM	171507
01/02/21 11:30 AM	286790
01/02/21 11:40 AM	346953
01/02/21 11:50 AM	297582
01/02/21 12:00 PM	779587
01/02/21 12:10 PM	416036
01/02/21 12:20 PM	371955
01/02/21 12:30 PM	557372
01/02/21 12:40 PM	476234
01/02/21 12:50 PM	377048
01/02/21 01:00 PM	117091
01/02/21 01:10 PM	444633
01/02/21 01:20 PM	547507
01/02/21 01:30 PM	485524
01/02/21 01:40 PM	547314
01/02/21 01:50 PM	322924
01/02/21 02:00 PM	1092019
01/02/21 02:10 PM	199903
01/02/21 02:20 PM	574129
01/02/21 02:30 PM	721306
01/02/21 02:40 PM	808404
01/02/21 02:50 PM	735837
01/02/21 03:00 PM	426842
01/02/21 03:10 PM	213035
01/02/21 03:20 PM	308223
01/02/21 03:30 PM	473039
01/02/21 03:40 PM	556375
01/02/21 03:50 PM	549040
01/02/21 04:00 PM	780939
01/02/21 04:10 PM	516135
01/02/21 04:20 PM	522682
01/02/21 04:30 PM	255543
01/02/21 04:40 PM	621437
01/02/21 04:50 PM	737701
01/02/21 05:00 PM	167441
01/02/21 05:10 PM	585977
01/02/21 05:20 PM	668247
01/02/21 05:30 PM	415742
01/02/21 05:40 PM	727229
01/02/21 05:50 PM	338148
01/02/21 06:00 PM	398395
01/02/21 06:10 PM	677948
01/02/21 06:20 PM	653787
01/02/21 06:30 PM	650538
01/02/21 06:40 PM	662722
01/02/21 06:50 PM	751391
01/02/21 07:00 PM	684967
01/02/21 07:10 PM	494758
01/02/21 07:20 PM	500284
01/02/21 07:30 PM	775128
01/02/21 07:40 PM	276588
01/02/21 07:50 PM	798363
01/02/21 08:00 PM	815767
01/02/21 08:10 PM	873728
01/02/21 08:20 PM	792746
01/02/21 08:30 PM	347205
01/02/21 08:40 PM	710856
01/02/21 08:50 PM	865209
01/02/21 09:00 PM	310105
01/02/21 09:10 PM	771271
01/02/21 09:20 PM	383787
01/02/21 09:30 PM	445283
01/02/21 09:40 PM	334773
01/02/21 09:50 PM	687464
01/02/21 10:00 PM	460378
01/02/21 10:10 PM	455516
01/02/21 10:20 PM	559815
01/02/21 10:30 PM	576323
01/02/21 10:40 PM	471521
01/02/21 10:50 PM	744550
01/02/21 11:00 PM	389534
01/02/21 11:10 PM	619858
01/02/21 11:20 PM	541043
01/02/21 11:30 PM	399503
01/02/21 11:40 PM	293594
01/02/21 11:50 PM	610166
01/03/21 12:00 AM	745248
01/03/21 12:10 AM	492384
01/03/21 12:20 AM	590167
01/03/21 12:30 AM	404149
01/03/21 12:40 AM	175416
01/03/21 12:50 AM	281996
01/03/21 01:00 AM	499982
01/03/21 01:10 AM	453697
01/03/21 01:20 AM	541642
01/03/21 01:30 AM	548138
01/03/21 01:40 AM	184460
01/03/21 01:50 AM	644144
01/03/21 02:00 AM	390067
01/03/21 02:10 AM	351460
01/03/21 02:20 AM	632139
01/03/21 02:30 AM	192419
01/03/21 02:40 AM	367243
01/03/21 02:50 AM	460888
01/03/21 03:00 AM	525885
01/03/21 03:10 AM	233581
01/03/21 03:20 AM	462367
01/03/21 03:30 AM	644539
01/03/21 03:40 AM	166076
01/03/21 03:50 AM	470761
01/03/21 04:00 AM	156356
01/03/21 04:10 AM	388452
01/03/21 04:20 AM	230010
01/03/21 04:30 AM	228315
01/03/21 04:40 AM	232344
01/03/21 04:50 AM	227081
01/03/21 05:00 AM	160856
01/03/21 05:10 AM	294695
01/03/21 05:20 AM	146065
01/03/21 05:30 AM	78114
01/03/21 05:40 AM	290552
01/03/21 05:50 AM	478654
01/03/21 06:00 AM	77923
01/03/21 06:10 AM	309861
01/03/21 06:20 AM	287437
01/03/21 06:30 AM	215976
01/03/21 06:40 AM	155707
01/03/21 06:50 AM	208702
01/03/21 07:00 AM	146819
01/03/21 07:10 AM	296226
01/03/21 07:20 AM	143540
01/03/21 07:30 AM	263709
01/03/21 07:40 AM	205857
01/03/21 07:50 AM	213849
01/03/21 08:00 AM	394990
01/03/21 08:10 AM	201028
01/03/21 08:20 AM	272683
01/03/21 08:30 AM	454788
01/03/21 08:40 AM	260064
01/03/21 08:50 AM	130809
01/03/21 09:00 AM	254354
01/03/21 09:10 AM	323454
01/03/21 09:20 AM	318751
01/03/21 09:30 AM	241479
01/03/21 09:40 AM	234994
01/03/21 09:50 AM	283496
01/03/21 10:00 AM	227855
01/03/21 10:10 AM	171482
01/03/21 10:20 AM	57128
