#Time Sample
10:20 344970
10:30 222923
10:40 448440
10:50 267913
11:00 324560
11:10 342046
11:20 171507
11:30 286790
11:40 346953
11:50 297582
12:00 779587
12:10 416036
12:20 371955
12:30 557372
12:40 476234
12:50 377048
13:00 117091
13:10 444633
13:20 547507
13:30 485524
13:40 547314
13:50 322924
14:00 1092019
14:10 199903
14:20 574129
14:30 721306
14:40 808404
14:50 735837
15:00 426842
15:10 213035
15:20 308223
15:30 473039
15:40 556375
15:50 549040
16:00 780939
16:10 516135
16:20 522682
16:30 255543
16:40 621437
16:50 737701
17:00 167441
17:10 585977
17:20 668247
17:30 415742
17:40 727229
17:50 338148
18:00 398395
18:10 677948
18:20 653787
18:30 650538
18:40 662722
18:50 751391
19:00 684967
19:10 494758
19:20 500284
19:30 775128
19:40 276588
19:50 798363
20:00 815767
20:10 873728
20:20 792746
20:30 347205
20:40 710856
20:50 865209
21:00 310105
21:10 771271
21:20 383787
21:30 445283
21:40 334773
21:50 687464
22:00 460378
22:10 455516
22:20 559815
22:30 576323
22:40 471521
22:50 744550
23:00 389534
23:10 619858
23:20 541043
23:30 399503
23:40 293594
23:50 610166
00:00 745248
00:10 492384
00:20 590167
00:30 404149
00:40 175416
00:50 281996
01:00 499982
01:10 453697
01:20 541642
01:30 548138
01:40 184460
01:50 644144
02:00 390067
02:10 351460
02:20 632139
02:30 192419
02:40 367243
02:50 460888
03:00 525885
03:10 233581
03:20 462367
03:30 644539
03:40 166076
03:50 470761
04:00 156356
04:10 388452
04:20 230010
04:30 228315
04:40 232344
04:50 227081
05:00 160856
05:10 294695
05:20 146065
05:30 78114
05:40 290552
05:50 478654
06:00 77923
06:10 309861
06:20 287437
06:30 215976
06:40 155707
06:50 208702
07:00 146819
07:10 296226
07:20 143540
07:30 263709
07:40 205857
07:50 213849
08:00 394990
08:10 201028
08:20 272683
08:30 454788
08:40 260064
08:50 130809
09:00 254354
09:10 323454
09:20 318751
09:30 241479
09:40 234994
09:50 283496
10:00 227855
10:10 171482
10:20 57128
